Cell_Number	
13	2.7718E+03	6.9528E+12	1.6059E+13	2.7296E+13	5.2588E-02	5.2588E-02	5.2588E-02	2.0864E+03	5.2588E-02	5.2588E-02	2.2775E+12	5.2588E-02	9.3994E-02	1.9532E+07	0.0000E+00	2.7937E+09	3.1145E+01	5.2588E-02	6.8486E+02	5.2588E-02	1.1560E+07	5.2588E-02	5.2588E-02	5.2588E-02	5.2588E-02	5.2588E-02
14	2.8932E+03	8.8992E+12	1.1773E+13	1.1223E+13	3.3703E-02	3.3703E-02	3.3703E-02	1.4817E+03	3.3703E-02	3.3703E-02	1.8033E+12	3.3703E-02	1.1803E-01	4.5345E+07	0.0000E+00	4.3943E+09	3.1307E+01	3.3703E-02	1.4111E+03	3.3703E-02	9.0477E+06	3.3703E-02	3.3703E-02	3.3703E-02	3.3703E-02	3.3703E-02
15	3.7268E+03	1.0731E+13	8.2998E+12	4.5989E+12	2.5074E-02	2.5074E-02	2.5074E-02	1.0565E+03	2.5074E-02	2.5074E-02	1.4373E+12	2.5074E-02	4.3112E-01	6.0588E+08	0.0000E+00	6.8636E+09	3.6491E+01	2.5074E-02	2.6697E+03	2.5074E-02	1.6971E+07	2.5074E-02	2.5074E-02	2.5074E-02	2.5074E-02	2.5074E-02
16	4.0603E+03	8.0711E+12	3.6907E+12	1.3313E+12	5.0079E-01	1.3881E-02	1.3881E-02	5.2052E+02	1.3881E-02	1.3881E-02	7.6747E+11	1.3881E-02	1.1457E+00	1.0482E+10	0.0000E+00	8.1673E+09	7.5515E+00	1.3881E-02	3.5386E+03	1.3881E-02	1.5252E+09	1.3881E-02	1.3881E-02	1.3881E-02	1.3881E-02	1.3881E-02
17	3.4521E+03	3.8154E+12	1.0628E+12	2.2695E+11	2.2115E+01	6.1679E-03	5.5248E-03	1.8510E+02	5.5248E-03	5.5248E-03	2.8509E+11	5.5248E-03	1.3372E+00	8.2934E+10	0.0000E+00	7.5684E+09	2.8078E+02	5.5248E-03	3.2656E+03	5.5248E-03	4.4120E+10	5.5248E-03	5.5248E-03	5.5248E-03	5.5248E-03	5.5248E-03
18	3.6660E+03	2.5059E+12	3.8738E+11	2.6794E+10	1.8561E+01	5.0981E-01	3.2468E-03	8.9584E+01	1.1950E-02	3.2468E-03	1.5841E+11	3.2468E-03	1.4812E+00	1.2129E+11	0.0000E+00	2.5254E+09	2.2776E+04	8.2159E-03	3.5744E+03	3.2468E-03	4.4661E+10	4.3527E-03	3.2468E-03	3.2468E-03	3.2468E-03	1.0579E-02
19	4.5756E+03	2.4241E+12	1.6817E+11	5.8978E+09	5.2438E+00	8.9041E-01	2.9215E-03	3.8556E+01	2.1601E-02	2.9215E-03	1.3795E+11	2.9215E-03	1.9811E+00	1.5744E+11	0.0000E+00	1.5686E+09	1.3819E+04	3.0951E-02	4.5340E+03	2.9215E-03	2.6632E+10	2.2482E-02	2.9215E-03	3.1119E-03	2.9215E-03	4.6847E-02
20	4.9952E+03	2.4645E+12	6.2165E+10	9.3174E+08	4.9005E-01	3.1129E-01	2.8612E-03	4.8961E+00	3.5460E-03	2.8612E-03	1.3348E+11	2.8612E-03	2.5822E+00	1.8779E+11	0.0000E+00	7.9148E+08	2.6484E+03	1.4509E-02	4.9872E+03	2.8612E-03	1.1602E+10	2.1372E-02	2.8612E-03	1.0475E-02	2.8612E-03	1.4775E-01
21	4.3175E+03	2.2517E+12	1.4567E+10	5.1706E+07	2.0363E-02	5.0530E-02	2.5726E-03	1.1902E-01	2.5726E-03	2.5726E-03	1.1865E+11	2.5726E-03	2.9084E+00	1.8460E+11	0.0000E+00	1.7281E+08	3.1359E+02	2.6459E-03	4.3137E+03	2.5726E-03	2.9943E+09	1.7721E-02	2.5726E-03	4.5438E-02	2.5726E-03	6.1986E-01
22	3.3400E+03	1.9834E+12	1.7939E+09	7.5789E+05	2.2557E-03	9.0926E-03	2.2557E-03	2.2557E-03	2.2557E-03	2.2557E-03	1.0260E+11	2.2557E-03	3.0761E+00	1.6750E+11	0.0000E+00	1.7474E+07	1.0604E+01	2.2557E-03	3.3299E+03	2.2557E-03	3.8953E+08	2.4604E-02	2.2557E-03	4.8366E-01	2.2557E-03	6.4893E+00
23	2.8787E+03	1.9974E+12	1.6050E+08	6.2892E+03	2.2714E-03	2.2714E-03	2.2714E-03	2.2714E-03	2.2714E-03	2.2714E-03	1.0211E+11	2.2714E-03	3.6619E+00	1.7163E+11	0.0000E+00	1.6910E+06	7.8563E-02	2.2714E-03	2.8290E+03	2.2714E-03	3.5316E+07	1.4693E-02	2.2714E-03	3.2462E+00	2.2714E-03	4.2778E+01
